,open,high,low,close,volume
2021-04-26 12:08:00,37440.0,37460.0,37420.0,37440.0,3373.55961423
2021-04-26 12:09:00,37440.0,37480.0,37440.0,37480.0,2285.70959441
2021-04-26 12:10:00,37480.0,37500.0,37470.0,37500.0,4169.41205331
2021-04-26 12:11:00,37490.0,37500.0,37460.0,37490.0,3244.97402598
2021-04-26 12:12:00,37490.0,37560.0,37490.0,37550.0,4038.67301704
2021-04-26 12:13:00,37550.0,37570.0,37510.0,37530.0,4753.41077134
2021-04-26 12:14:00,37550.0,37560.0,37530.0,37550.0,3688.30006567
2021-04-26 12:15:00,37560.0,37560.0,37550.0,37550.0,3132.36029594
2021-04-26 12:16:00,37560.0,37570.0,37530.0,37540.0,8992.93557532
2021-04-26 12:17:00,37540.0,37540.0,37500.0,37510.0,7739.74307645
2021-04-26 12:18:00,37500.0,37510.0,37500.0,37500.0,11856.89349218
2021-04-26 12:19:00,37500.0,37510.0,37500.0,37500.0,6748.69693394
2021-04-26 12:20:00,37500.0,37510.0,37460.0,37480.0,6738.70078032
2021-04-26 12:21:00,37450.0,37490.0,37420.0,37440.0,4320.21374249
2021-04-26 12:22:00,37440.0,37470.0,37410.0,37450.0,5005.49191669
2021-04-26 12:23:00,37450.0,37460.0,37420.0,37420.0,2813.18485156
2021-04-26 12:24:00,37420.0,37430.0,37360.0,37390.0,6069.07205051
2021-04-26 12:25:00,37390.0,37400.0,37310.0,37310.0,3843.74118928
2021-04-26 12:26:00,37310.0,37370.0,37280.0,37300.0,3965.23794537
2021-04-26 12:27:00,37300.0,37300.0,37270.0,37270.0,4936.52546398
2021-04-26 12:28:00,37270.0,37290.0,37260.0,37260.0,5655.28484447
2021-04-26 12:29:00,37260.0,37260.0,37120.0,37120.0,8171.89115567
2021-04-26 12:30:00,37120.0,37190.0,37090.0,37100.0,13684.97466515
2021-04-26 12:31:00,37100.0,37200.0,37050.0,37130.0,11357.67223506
2021-04-26 12:32:00,37140.0,37160.0,37050.0,37090.0,11426.97244958
2021-04-26 12:33:00,37090.0,37090.0,37050.0,37070.0,8351.76120589
2021-04-26 12:34:00,37070.0,37100.0,37050.0,37090.0,6978.22140686
2021-04-26 12:35:00,37100.0,37130.0,37080.0,37130.0,4647.29271265
2021-04-26 12:36:00,37130.0,37150.0,37110.0,37120.0,6874.99331789
2021-04-26 12:37:00,37110.0,37160.0,37110.0,37160.0,3661.25572237
2021-04-26 12:38:00,37160.0,37200.0,37150.0,37190.0,4065.60880326
2021-04-26 12:39:00,37200.0,37210.0,37170.0,37180.0,3621.54377767
2021-04-26 12:40:00,37180.0,37200.0,37180.0,37190.0,2084.69790706
2021-04-26 12:41:00,37200.0,37230.0,37190.0,37210.0,3098.4658686
2021-04-26 12:42:00,37210.0,37250.0,37200.0,37250.0,5068.08909178
2021-04-26 12:43:00,37250.0,37250.0,37210.0,37230.0,5022.49225726
2021-04-26 12:44:00,37210.0,37240.0,37210.0,37230.0,2594.34406443
2021-04-26 12:45:00,37220.0,37360.0,37220.0,37330.0,6877.69946192
2021-04-26 12:46:00,37310.0,37370.0,37280.0,37350.0,3314.93080461
2021-04-26 12:47:00,37350.0,37380.0,37350.0,37360.0,5053.42453698
2021-04-26 12:48:00,37360.0,37370.0,37280.0,37330.0,5474.51185596
2021-04-26 12:49:00,37330.0,37420.0,37320.0,37360.0,4496.10508573
2021-04-26 12:50:00,37400.0,37410.0,37320.0,37340.0,5389.63021282
2021-04-26 12:51:00,37340.0,37350.0,37320.0,37320.0,4052.51224493
2021-04-26 12:52:00,37320.0,37340.0,37260.0,37270.0,3863.636328
2021-04-26 12:53:00,37270.0,37290.0,37250.0,37260.0,2941.63681925
2021-04-26 12:54:00,37270.0,37300.0,37260.0,37290.0,2691.01758531
2021-04-26 12:55:00,37290.0,37300.0,37260.0,37280.0,1940.05036622
2021-04-26 12:56:00,37280.0,37330.0,37260.0,37300.0,4001.24549496
2021-04-26 12:57:00,37310.0,37330.0,37300.0,37330.0,3631.6849286
2021-04-26 12:58:00,37330.0,37330.0,37310.0,37320.0,1612.19899075
2021-04-26 12:59:00,37310.0,37320.0,37300.0,37310.0,3475.17824406
2021-04-26 13:00:00,37310.0,37490.0,37310.0,37470.0,13101.54954809
2021-04-26 13:01:00,37470.0,37500.0,37390.0,37440.0,6912.11598279
2021-04-26 13:02:00,37440.0,37440.0,37360.0,37360.0,4279.54124256
2021-04-26 13:03:00,37360.0,37380.0,37250.0,37260.0,9014.32275918
2021-04-26 13:04:00,37260.0,37360.0,37260.0,37310.0,7177.25648099
2021-04-26 13:05:00,37300.0,37330.0,37260.0,37260.0,4943.71345105
2021-04-26 13:06:00,37260.0,37270.0,37220.0,37240.0,6552.82304794
2021-04-26 13:07:00,37240.0,37330.0,37240.0,37290.0,3986.13220079
2021-04-26 13:08:00,37290.0,37290.0,37260.0,37270.0,2023.07180256
2021-04-26 13:09:00,37270.0,37350.0,37260.0,37340.0,4846.49427602
2021-04-26 13:10:00,37340.0,37340.0,37300.0,37300.0,2035.85699378
2021-04-26 13:11:00,37300.0,37320.0,37300.0,37300.0,2522.88556368
2021-04-26 13:12:00,37300.0,37310.0,37270.0,37290.0,3077.86704477
2021-04-26 13:13:00,37300.0,37310.0,37270.0,37290.0,4594.79265199
2021-04-26 13:14:00,37290.0,37310.0,37280.0,37280.0,3074.03530653
2021-04-26 13:15:00,37280.0,37290.0,37260.0,37270.0,3439.29564511
2021-04-26 13:16:00,37270.0,37270.0,37220.0,37220.0,5421.74557219
2021-04-26 13:17:00,37220.0,37230.0,37190.0,37210.0,5377.49346164
2021-04-26 13:18:00,37220.0,37310.0,37210.0,37240.0,3164.02823734
2021-04-26 13:19:00,37240.0,37250.0,37210.0,37220.0,4833.42399362
2021-04-26 13:20:00,37210.0,37240.0,37210.0,37230.0,3117.96981503
2021-04-26 13:21:00,37230.0,37290.0,37210.0,37280.0,4845.30101956
2021-04-26 13:22:00,37280.0,37290.0,37230.0,37260.0,1531.85706968
2021-04-26 13:23:00,37260.0,37260.0,37210.0,37210.0,3280.95815914
2021-04-26 13:24:00,37220.0,37230.0,37170.0,37170.0,4708.39817295
2021-04-26 13:25:00,37190.0,37190.0,37170.0,37180.0,5558.68688072
2021-04-26 13:26:00,37180.0,37270.0,37170.0,37220.0,4564.90628892
2021-04-26 13:27:00,37220.0,37220.0,37180.0,37200.0,1322.2918228
2021-04-26 13:28:00,37190.0,37200.0,37180.0,37200.0,1158.56142339
2021-04-26 13:29:00,37200.0,37200.0,37190.0,37200.0,1120.5817882
2021-04-26 13:30:00,37200.0,37200.0,37190.0,37190.0,4688.51014202
2021-04-26 13:31:00,37190.0,37200.0,37140.0,37140.0,5784.95280288
2021-04-26 13:32:00,37130.0,37140.0,37110.0,37120.0,4906.88451947
2021-04-26 13:33:00,37130.0,37160.0,37110.0,37160.0,4389.98035432
2021-04-26 13:34:00,37160.0,37190.0,37140.0,37180.0,2443.96728881
2021-04-26 13:35:00,37180.0,37240.0,37170.0,37190.0,5296.76397627
2021-04-26 13:36:00,37190.0,37210.0,37170.0,37180.0,2858.70113459
2021-04-26 13:37:00,37190.0,37200.0,37160.0,37180.0,3296.52486623
2021-04-26 13:38:00,37150.0,37200.0,37150.0,37180.0,3835.38829451
2021-04-26 13:39:00,37160.0,37180.0,37050.0,37050.0,14593.07087164
2021-04-26 13:40:00,37060.0,37100.0,37060.0,37070.0,5021.40294622
2021-04-26 13:41:00,37060.0,37200.0,37050.0,37160.0,7961.71746072
2021-04-26 13:42:00,37110.0,37200.0,37100.0,37100.0,4746.8450706
2021-04-26 13:43:00,37110.0,37150.0,37080.0,37150.0,4320.93124397
2021-04-26 13:44:00,37150.0,37160.0,37100.0,37110.0,3381.34731349
2021-04-26 13:45:00,37110.0,37140.0,37100.0,37130.0,1515.40864665
2021-04-26 13:46:00,37130.0,37140.0,37100.0,37100.0,3625.09805281
2021-04-26 13:47:00,37110.0,37140.0,37100.0,37110.0,2393.68409809
