,open,high,low,close,volume
2021-04-26 11:40:00,62508000.0,62539000.0,62507000.0,62532000.0,4.0727338
2021-04-26 11:41:00,62537000.0,62547000.0,62502000.0,62542000.0,7.34211615
2021-04-26 11:42:00,62542000.0,62544000.0,62501000.0,62534000.0,6.1612033
2021-04-26 11:43:00,62532000.0,62532000.0,62453000.0,62468000.0,5.21246153
2021-04-26 11:44:00,62468000.0,62483000.0,62450000.0,62483000.0,8.64863998
2021-04-26 11:45:00,62479000.0,62500000.0,62453000.0,62485000.0,6.19604411
2021-04-26 11:46:00,62478000.0,62510000.0,62477000.0,62478000.0,7.10866917
2021-04-26 11:47:00,62499000.0,62534000.0,62477000.0,62520000.0,12.94743751
2021-04-26 11:48:00,62521000.0,62521000.0,62477000.0,62485000.0,6.77579414
2021-04-26 11:49:00,62485000.0,62500000.0,62477000.0,62486000.0,4.62520466
2021-04-26 11:50:00,62486000.0,62500000.0,62477000.0,62493000.0,7.7295079
2021-04-26 11:51:00,62487000.0,62500000.0,62477000.0,62477000.0,4.8405687
2021-04-26 11:52:00,62477000.0,62500000.0,62477000.0,62478000.0,4.49179055
2021-04-26 11:53:00,62491000.0,62499000.0,62475000.0,62482000.0,3.56537181
2021-04-26 11:54:00,62482000.0,62491000.0,62452000.0,62473000.0,19.06714305
2021-04-26 11:55:00,62465000.0,62500000.0,62451000.0,62455000.0,10.52993575
2021-04-26 11:56:00,62490000.0,62499000.0,62350000.0,62350000.0,12.2559625
2021-04-26 11:57:00,62374000.0,62374000.0,62305000.0,62328000.0,7.99137185
2021-04-26 11:58:00,62339000.0,62428000.0,62310000.0,62373000.0,5.3479299
2021-04-26 11:59:00,62373000.0,62440000.0,62355000.0,62436000.0,6.86593838
2021-04-26 12:00:00,62436000.0,62509000.0,62400000.0,62509000.0,14.37838623
2021-04-26 12:01:00,62503000.0,62600000.0,62488000.0,62531000.0,16.89726662
2021-04-26 12:02:00,62525000.0,62637000.0,62525000.0,62604000.0,9.54314137
2021-04-26 12:03:00,62619000.0,62646000.0,62538000.0,62540000.0,11.15220761
2021-04-26 12:04:00,62538000.0,62540000.0,62488000.0,62491000.0,3.63173345
2021-04-26 12:05:00,62499000.0,62499000.0,62461000.0,62488000.0,3.17375225
2021-04-26 12:06:00,62488000.0,62495000.0,62472000.0,62492000.0,5.21180431
2021-04-26 12:07:00,62491000.0,62540000.0,62490000.0,62524000.0,5.12868856
2021-04-26 12:08:00,62524000.0,62539000.0,62490000.0,62500000.0,10.29142304
2021-04-26 12:09:00,62523000.0,62584000.0,62506000.0,62572000.0,6.54493855
2021-04-26 12:10:00,62572000.0,62599000.0,62553000.0,62599000.0,7.10487036
2021-04-26 12:11:00,62598000.0,62618000.0,62523000.0,62538000.0,7.35841169
2021-04-26 12:12:00,62538000.0,62610000.0,62512000.0,62610000.0,3.27348034
2021-04-26 12:13:00,62570000.0,62615000.0,62569000.0,62613000.0,2.88078812
2021-04-26 12:14:00,62613000.0,62643000.0,62613000.0,62637000.0,6.21599362
2021-04-26 12:15:00,62637000.0,62700000.0,62632000.0,62666000.0,5.8665279
2021-04-26 12:16:00,62666000.0,62699000.0,62659000.0,62667000.0,7.03534898
2021-04-26 12:17:00,62674000.0,62674000.0,62553000.0,62570000.0,7.59338085
2021-04-26 12:18:00,62570000.0,62570000.0,62462000.0,62478000.0,5.85634183
2021-04-26 12:19:00,62480000.0,62520000.0,62460000.0,62517000.0,6.40914926
2021-04-26 12:20:00,62517000.0,62518000.0,62461000.0,62500000.0,4.5175481
2021-04-26 12:21:00,62510000.0,62510000.0,62446000.0,62449000.0,3.82949173
2021-04-26 12:22:00,62450000.0,62463000.0,62427000.0,62444000.0,4.14683978
2021-04-26 12:23:00,62444000.0,62490000.0,62440000.0,62490000.0,3.45203531
2021-04-26 12:24:00,62463000.0,62490000.0,62440000.0,62445000.0,3.90754381
2021-04-26 12:25:00,62450000.0,62485000.0,62426000.0,62426000.0,6.01660101
2021-04-26 12:26:00,62433000.0,62451000.0,62348000.0,62382000.0,6.32395191
2021-04-26 12:27:00,62390000.0,62390000.0,62301000.0,62306000.0,4.03507608
2021-04-26 12:28:00,62306000.0,62312000.0,62151000.0,62151000.0,10.7578736
2021-04-26 12:29:00,62151000.0,62151000.0,62070000.0,62084000.0,9.23162629
2021-04-26 12:30:00,62084000.0,62097000.0,62000000.0,62001000.0,11.26084978
2021-04-26 12:31:00,62000000.0,62200000.0,62000000.0,62181000.0,14.00708671
2021-04-26 12:32:00,62151000.0,62312000.0,62147000.0,62185000.0,12.58569715
2021-04-26 12:33:00,62186000.0,62247000.0,62185000.0,62198000.0,8.03594807
2021-04-26 12:34:00,62200000.0,62247000.0,62185000.0,62200000.0,9.49479812
2021-04-26 12:35:00,62224000.0,62250000.0,62200000.0,62226000.0,9.17245527
2021-04-26 12:36:00,62226000.0,62246000.0,62225000.0,62226000.0,6.61262415
2021-04-26 12:37:00,62225000.0,62300000.0,62225000.0,62300000.0,4.40551577
2021-04-26 12:38:00,62300000.0,62311000.0,62260000.0,62272000.0,5.32263274
2021-04-26 12:39:00,62275000.0,62275000.0,62228000.0,62231000.0,3.96687688
2021-04-26 12:40:00,62230000.0,62271000.0,62229000.0,62242000.0,5.08353992
2021-04-26 12:41:00,62268000.0,62271000.0,62229000.0,62262000.0,3.35018137
2021-04-26 12:42:00,62268000.0,62271000.0,62228000.0,62230000.0,3.76172647
2021-04-26 12:43:00,62267000.0,62267000.0,62225000.0,62257000.0,1.74251575
2021-04-26 12:44:00,62257000.0,62258000.0,62224000.0,62226000.0,4.23071678
2021-04-26 12:45:00,62226000.0,62310000.0,62217000.0,62310000.0,10.45801748
2021-04-26 12:46:00,62304000.0,62500000.0,62304000.0,62431000.0,7.38549134
2021-04-26 12:47:00,62445000.0,62476000.0,62380000.0,62470000.0,4.80921714
2021-04-26 12:48:00,62475000.0,62509000.0,62438000.0,62480000.0,5.86592274
2021-04-26 12:49:00,62495000.0,62598000.0,62480000.0,62588000.0,8.98943599
2021-04-26 12:50:00,62571000.0,62595000.0,62500000.0,62545000.0,7.55967279
2021-04-26 12:51:00,62545000.0,62569000.0,62416000.0,62444000.0,8.2204153
2021-04-26 12:52:00,62441000.0,62500000.0,62339000.0,62439000.0,8.61962335
2021-04-26 12:53:00,62439000.0,62439000.0,62385000.0,62387000.0,5.28726037
2021-04-26 12:54:00,62400000.0,62436000.0,62387000.0,62388000.0,2.9899512
2021-04-26 12:55:00,62389000.0,62389000.0,62350000.0,62358000.0,6.66635641
2021-04-26 12:56:00,62386000.0,62438000.0,62350000.0,62435000.0,5.31169937
2021-04-26 12:57:00,62436000.0,62470000.0,62435000.0,62453000.0,1.95347871
2021-04-26 12:58:00,62470000.0,62510000.0,62448000.0,62502000.0,4.75398088
2021-04-26 12:59:00,62506000.0,62529000.0,62502000.0,62529000.0,4.36154336
2021-04-26 13:00:00,62529000.0,62788000.0,62526000.0,62780000.0,24.42933576
2021-04-26 13:01:00,62788000.0,62790000.0,62502000.0,62557000.0,16.36913585
2021-04-26 13:02:00,62523000.0,62618000.0,62505000.0,62569000.0,8.42725862
2021-04-26 13:03:00,62569000.0,62611000.0,62505000.0,62520000.0,6.37458427
2021-04-26 13:04:00,62509000.0,62520000.0,62490000.0,62497000.0,9.31710829
2021-04-26 13:05:00,62496000.0,62497000.0,62358000.0,62358000.0,8.8508437
2021-04-26 13:06:00,62357000.0,62453000.0,62325000.0,62400000.0,3.47303496
2021-04-26 13:07:00,62400000.0,62417000.0,62364000.0,62400000.0,5.86930523
2021-04-26 13:08:00,62406000.0,62493000.0,62400000.0,62427000.0,3.96107224
2021-04-26 13:09:00,62427000.0,62493000.0,62427000.0,62443000.0,4.49260809
2021-04-26 13:10:00,62443000.0,62451000.0,62428000.0,62441000.0,3.52500171
2021-04-26 13:11:00,62441000.0,62443000.0,62405000.0,62419000.0,4.41313563
2021-04-26 13:12:00,62425000.0,62426000.0,62398000.0,62398000.0,4.90880583
2021-04-26 13:13:00,62399000.0,62399000.0,62291000.0,62291000.0,7.34126926
2021-04-26 13:14:00,62307000.0,62309000.0,62212000.0,62247000.0,8.01461223
2021-04-26 13:15:00,62286000.0,62286000.0,62247000.0,62279000.0,3.74234591
2021-04-26 13:16:00,62279000.0,62286000.0,62248000.0,62256000.0,5.83064889
2021-04-26 13:17:00,62249000.0,62256000.0,62118000.0,62189000.0,11.47867017
2021-04-26 13:18:00,62202000.0,62250000.0,62189000.0,62208000.0,3.62144892
2021-04-26 13:19:00,62217000.0,62217000.0,62194000.0,62202000.0,5.5813858
2021-04-26 13:20:00,62202000.0,62250000.0,62120000.0,62249000.0,7.81554011
2021-04-26 13:21:00,62250000.0,62286000.0,62225000.0,62285000.0,3.89673594
2021-04-26 13:22:00,62285000.0,62285000.0,62251000.0,62275000.0,2.34883879
2021-04-26 13:23:00,62275000.0,62285000.0,62260000.0,62265000.0,3.39821219
2021-04-26 13:24:00,62265000.0,62285000.0,62251000.0,62284000.0,2.91320528
2021-04-26 13:25:00,62285000.0,62285000.0,62251000.0,62251000.0,1.72753367
2021-04-26 13:26:00,62284000.0,62407000.0,62251000.0,62397000.0,6.28061785
2021-04-26 13:27:00,62397000.0,62400000.0,62330000.0,62366000.0,2.03348928
2021-04-26 13:28:00,62366000.0,62396000.0,62361000.0,62361000.0,3.67065825
2021-04-26 13:29:00,62361000.0,62395000.0,62359000.0,62370000.0,6.20176925
2021-04-26 13:30:00,62370000.0,62395000.0,62359000.0,62360000.0,3.5413218
2021-04-26 13:31:00,62361000.0,62361000.0,62357000.0,62358000.0,3.69691441
2021-04-26 13:32:00,62358000.0,62394000.0,62355000.0,62393000.0,5.3287435
2021-04-26 13:33:00,62393000.0,62395000.0,62355000.0,62364000.0,1.78612396
2021-04-26 13:34:00,62366000.0,62397000.0,62365000.0,62393000.0,4.21642459
2021-04-26 13:35:00,62393000.0,62397000.0,62371000.0,62372000.0,2.58413816
2021-04-26 13:36:00,62372000.0,62397000.0,62370000.0,62372000.0,2.385501
2021-04-26 13:37:00,62372000.0,62397000.0,62371000.0,62373000.0,4.10668122
2021-04-26 13:38:00,62397000.0,62400000.0,62372000.0,62372000.0,4.69428402
2021-04-26 13:39:00,62399000.0,62399000.0,62086000.0,62174000.0,11.86209249
2021-04-26 13:40:00,62174000.0,62194000.0,62061000.0,62194000.0,10.29480964
2021-04-26 13:41:00,62194000.0,62400000.0,62193000.0,62374000.0,3.98476546
2021-04-26 13:42:00,62281000.0,62398000.0,62280000.0,62345000.0,4.33930368
2021-04-26 13:43:00,62345000.0,62417000.0,62345000.0,62411000.0,6.08453979
2021-04-26 13:44:00,62420000.0,62443000.0,62410000.0,62411000.0,5.00632728
2021-04-26 13:45:00,62411000.0,62424000.0,62348000.0,62412000.0,3.10902354
2021-04-26 13:46:00,62412000.0,62425000.0,62403000.0,62404000.0,4.29636999
2021-04-26 13:47:00,62403000.0,62404000.0,62350000.0,62402000.0,2.50361539
2021-04-26 13:48:00,62400000.0,62403000.0,62377000.0,62400000.0,2.37422593
2021-04-26 13:49:00,62400000.0,62400000.0,62346000.0,62350000.0,2.83649342
2021-04-26 13:50:00,62360000.0,62360000.0,62328000.0,62359000.0,12.73104196
2021-04-26 13:51:00,62359000.0,62385000.0,62350000.0,62363000.0,2.99887695
2021-04-26 13:52:00,62363000.0,62385000.0,62350000.0,62384000.0,3.14515135
2021-04-26 13:53:00,62384000.0,62385000.0,62362000.0,62384000.0,2.48881588
2021-04-26 13:54:00,62384000.0,62400000.0,62350000.0,62399000.0,2.99095035
2021-04-26 13:55:00,62399000.0,62410000.0,62384000.0,62410000.0,2.85292258
2021-04-26 13:56:00,62411000.0,62425000.0,62410000.0,62425000.0,2.29638766
2021-04-26 13:57:00,62420000.0,62450000.0,62420000.0,62444000.0,2.39490776
2021-04-26 13:58:00,62450000.0,62476000.0,62444000.0,62445000.0,3.98424071
2021-04-26 13:59:00,62451000.0,62476000.0,62444000.0,62470000.0,2.10283437
2021-04-26 14:00:00,62470000.0,62511000.0,62470000.0,62511000.0,7.75838855
2021-04-26 14:01:00,62513000.0,62552000.0,62500000.0,62527000.0,2.73051274
2021-04-26 14:02:00,62547000.0,62547000.0,62500000.0,62536000.0,4.80234131
2021-04-26 14:03:00,62500000.0,62539000.0,62500000.0,62501000.0,3.29992789
2021-04-26 14:04:00,62500000.0,62541000.0,62500000.0,62540000.0,3.9725324
2021-04-26 14:05:00,62539000.0,62588000.0,62539000.0,62580000.0,8.51267433
2021-04-26 14:06:00,62588000.0,62650000.0,62588000.0,62632000.0,9.0556689
2021-04-26 14:07:00,62644000.0,62705000.0,62629000.0,62700000.0,14.70657098
2021-04-26 14:08:00,62700000.0,62780000.0,62700000.0,62780000.0,11.64039211
2021-04-26 14:09:00,62775000.0,62789000.0,62744000.0,62744000.0,13.46280818
2021-04-26 14:10:00,62780000.0,62850000.0,62730000.0,62766000.0,14.53623378
2021-04-26 14:11:00,62744000.0,62900000.0,62724000.0,62798000.0,15.84849491
2021-04-26 14:12:00,62794000.0,62798000.0,62665000.0,62741000.0,6.70482742
2021-04-26 14:13:00,62696000.0,62776000.0,62686000.0,62697000.0,7.59586852
2021-04-26 14:14:00,62738000.0,62740000.0,62689000.0,62700000.0,4.89207556
2021-04-26 14:15:00,62720000.0,62720000.0,62699000.0,62700000.0,2.79194713
2021-04-26 14:16:00,62700000.0,62720000.0,62699000.0,62699000.0,6.64849176
2021-04-26 14:17:00,62702000.0,62708000.0,62694000.0,62695000.0,4.60075581
2021-04-26 14:18:00,62699000.0,62703000.0,62694000.0,62702000.0,6.62901958
2021-04-26 14:19:00,62703000.0,62738000.0,62700000.0,62730000.0,10.89799646
2021-04-26 14:20:00,62738000.0,62788000.0,62722000.0,62743000.0,7.02303848
